NAME,DISTRICT,ADDRESS,ZIPCODE,WEBSITE,LAT,LNG
Smith,7,2200 S 24TH ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836,39.9253758084,-75.1873220608
McDevitt,4,3500 CRAWFORD ST,19129,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=790,40.00894803,-75.1866712276
Ziehler,3,200-64 E OLNEY AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=857,40.0341767287,-75.1188109076
Mitchell,1,3694 CHESTERFIELD RD,19114,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=794,40.0678632579,-74.9912379499
Finley,4,7701 MANSFIELD AVE,19150,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=738,40.0648522309,-75.1696168717
Gifford,1,575 TOMLINSON RD,19116,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=752,40.1151099901,-75.0250198763
Morris Estate,4,1610 CHELTEN AVE,19141,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=797,40.0505854875,-75.1468452441
McVeigh,3,400-64 E ONTARIO ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=792,39.9999775229,-75.1217438526
McArdle,1,8930 ASHTON RD,19152,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=788,40.0609133198,-75.0263686625
Piccoli,3,1501 E BRISTOL ST,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=813,40.0124626233,-75.0966061633
Sturgis,3,200-20 W 65TH AVE,19126,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=839,40.048982114,-75.1238652414
Barrett,3,641 LINDLEY AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=710,40.0303984098,-75.1358465263
McCreesh,8,6744 REGENT ST,19142,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=789,39.9263251331,-75.2398163151
Rivera,3,3201 N 05TH ST,19140,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=820,40.0005246005,-75.1374460616
Roosevelt,2,4301 LEVICK ST,19135,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=822,40.0256267742,-75.0540734294
Cherashore,3,851 W OLNEY AVE,19141,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=720,40.0380340957,-75.1365526567
Granahan,8,338-50 N 65TH ST,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=753,39.9688638823,-75.2510908243
West Mill Creek,8,5100 WESTMINSTER AVE,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=850,39.9677560899,-75.2233882097
M.L. King,6,2101-35 CECIL B MOORE AVE,19121,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=772,39.9810416615,-75.1699191175
Lonnie Young,4,1100 E CHELTEN AVE,19138,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=856,40.0500529419,-75.1592227133
Carousel House,5,1701 BELMONT AVE,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=717,39.9792162217,-75.2130081398
Fitzpatrick,1,3500 ACADEMY RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=742,40.0960734785,-74.972720101
Waterview,4,5826 MC MAHON AVE,19144,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=849,40.044959292,-75.1685447236
Cohocksink,2,2901 CEDAR ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,39.9843241843,-75.1118458854
